id,address,addressNumber,bikes,district,lat,lon,name,nearbyStations,slots,stationType,status,zip
141,141 - Zacatecas-Luis Cabrera,S/N,3,R-N,19.415905,-99.15954,141 ZACATECAS-LUIS CABRERA,"139,140,143",27,"BIKE,TPV",OPN,
142,142 - San Luis Potosí-Eje 2 Pte. Monterrey,S/N,0,R-N,19.413232,-99.164121,142 SAN LUIS POTOSI-EJE 2 PTE. MONTERREY,"139,145,146",29,BIKE,OPN,
143,143 - Córdoba-San Luis Potosí,S/N,2,R-N,19.414303,-99.157542,143 CÓRDOBA-SAN LUIS POTOSÍ,"141,144,147",19,BIKE,OPN,
144,144 - Frontera-San Luis Potosí,S/N,7,R-N,19.415192,-99.154837,144 FRONTERA-SAN LUIS POTOSÍ,"140,143,148",20,BIKE,OPN,
145,145 - Eje 2 Sur Yucatán-Chiapas,S/N,8,R-N,19.41286,-99.160661,145 EJE 2 SUR YUCATÁN-CHIAPAS,"142,147,151",18,BIKE,OPN,
146,146 - Coahuila-Manzanillo,S/N,2,R-N,19.410737,-99.165716,146 COAHUILA-MANZANILLO,"150,152,153",22,BIKE,OPN,
147,147 - Coahuila-Orizaba,S/N,5,R-N,19.412182,-99.158443,147 COAHUILA-ORIZABA,"145,149,151",21,BIKE,OPN,
148,148 - Coahuila-Av. Cuauhtémoc,S/N,0,R-N,19.412829,-99.155116,148 COAHUILA-AV.CUAUHTEMOC,"143,147,149",24,BIKE,OPN,
149,149 - Mérida-Antonio Anza,S/N,5,R-N,19.41199,-99.155699,149 MÉRIDA-ANTONIO ANZA,"143,147,148",31,BIKE,OPN,
150,150 - Campeche-Medellín,S/N,9,1,19.409965,-99.164292,150 CAMPECHE-MEDELLÍN,"146,151,152",18,BIKE,OPN,
151,151 - Campeche-Tonalá,S/N,0,ROM,19.410529,-99.160873,151 CAMPECHE-TONALÁ,"145,147,155",27,BIKE,OPN,
152,152 - Tlacotalpan-Campecha,S/N,8,ROM,19.409098,-99.167181,152 TLACOTALPAN-CAMPECHE,"146,150,157",21,"BIKE,TPV",OPN,
153,153 - Manzanillo-Tlaxcala,S/N,3,ROM,19.407468,-99.165141,153 MANZANILLO-TLAXCALA,"154,157,161",18,BIKE,OPN,
154,154 - Tuxpan-Tlaxcala,S/N,6,1,19.406683,-99.167962,154 TUXPAN-TLAXCALA,"152,153,157",27,"BIKE,TPV",OPN,
155,155 - Jalapa-Tlaxcala,S/N,5,ROM,19.408218,-99.159911,E155 JALAPA-TLAXCALA,"139,147,151",18,ELECTRIC_BIKE,OPN,
156,156 - Tepic-Amenalco,S/N,0,ROM,19.407121,-99.162202,156 TEPIC-AMENALCO,"153,155,162",18,BIKE,CLS,
157,157 - Tepic-Tlacotalpan,S/N,10,ROM,19.406236,-99.166616,157 TEPIC-TLACOTALPAN,"153,154,161",19,BIKE,OPN,
158,158 - Huatabampo- Eje 1 Pte. Av. Cuauhtémoc,S/N,20,ROM,19.407447,-99.155717,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,"155,159,163",16,"BIKE,TPV",OPN,
159,159 - Huatabampo-Eje 1 Pte. Av. Cuauhtémoc,S/N,16,ROM,19.407517,-99.155373,159 HUATABAMPO-EJE 1 PTE. AV. CUAUHTÉMOC,"155,158,163",19,BIKE,OPN,
160,160 - Alfonzo Herrera-Gabino Barrera,S/N,3,S-R,19.44025,-99.16346,E160 ALFONSO HERRERA-GABINO BARRERA,"103,174,257",21,ELECTRIC_BIKE,OPN,
161,161 - Quintana Roo-Manzanillo,S/N,0,ROM,19.405533,-99.164913,161 QUINTANA ROO-MANZANILLO,"153,157,162",21,BIKE,OPN,
162,162 - Tehuantepec-Medellín,S/N,5,ROM,19.404907,-99.162485,162 TEHUANTEPEC-MEDELLÍN,"161,165",22,BIKE,OPN,
163,163 - Toluca-Bajío,S/N,10,ROM,19.405246,-99.156431,163 TOLUCA-BAJÍO,"158,159,165",26,BIKE,OPN,
